"FSC.A","SSC.A","FL1.A","FL2.A","FL3.A","FL4.A","FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H","Width","Time","Species","Media","Temp","Rep","Time_point","hours"
17051.1500894434,2005.81923254132,100980.559758183,20272.8221199804,8220.07584569499,558.820308157466,18533.2737590653,6240.3546040798,86801.4185146987,17410.6222193437,7234.93331671812,726.440023742259,77.6920245358536,354.660577520607,"Amac","full","cold","3","3",12
22332.8187203318,2313.00461031879,62728.8185375161,12486.9991888865,5009.85312961636,502.599040952827,24387.5631250144,6543.40660952449,55481.2275719758,11040.1915278563,4563.64420694742,567.194364652261,72.525097239062,352.018979215741,"Rpom","noB12","cold","1","3",12
22717.2756695761,2311.96337100456,72036.9267740667,14380.2119732939,5788.73081033024,515.167079853304,24848.7481128769,6531.52323319969,63765.2752186327,12712.200808706,5255.73905340366,609.029501525941,73.7684031903708,352.867012318661,"Rpom","noB12","cold","2","3",12
22251.2270215564,2336.81666164925,69455.9195437585,13864.272873474,5570.76465613537,512.834280700642,24234.1621859824,6551.35381297187,61167.1539428965,12198.9078901503,5043.40289320035,598.151374111719,73.5418373248196,354.657351438282,"Rpom","noB12","cold","3","3",12
19883.2175431598,2042.22216164705,51122.9915135666,10149.2433511365,4059.50790062717,489.702428177796,21524.605027739,6279.40015365409,44661.6237809247,8897.35960227231,3699.32776189526,516.299368393059,70.754341097297,355.445208282547,"Amac","noB12","cold","1","3",12
19630.5838117565,2054.39719865288,49777.6435227136,9911.10443934806,3979.81007689339,487.338368323255,21475.4759060007,6303.29478236773,43980.983730494,8777.82202146487,3656.76591121984,511.395440798209,70.2898964157785,354.560949445528,"Amac","noB12","cold","2","3",12
19541.6657159857,2072.36234883648,43941.053228144,8716.37123767874,3486.56757753196,479.948406947415,21198.5487612422,6328.64280971943,38524.2319401835,7675.58390746372,3205.57307029994,479.803538751366,69.1808476997067,355.794877712851,"Amac","noB12","cold","3","3",12
18304.6924353823,2376.70338116901,39256.1385585506,7719.76061053347,3066.45256398914,473.976283158645,19400.14211014,6630.02870606203,33525.6377541755,6649.90750501716,2788.05979149109,452.66578507471,68.5437633577478,353.477720789894,"Rpom","full","med","1","3",12
18634.2829936782,2394.24147269971,40929.4189994224,8065.13223088585,3211.6756368303,476.036608120441,19851.4769142473,6654.471087541,35144.2818926265,6978.38420668242,2923.71667009462,462.038790518147,68.8150134675615,356.200056407344,"Rpom","full","med","2","3",12
17922.9306741954,2339.73811655631,42188.0792470269,8327.32555063747,3319.3889338176,478.383192168926,19087.6813294727,6599.26539510389,36140.9661241525,7189.98565490417,3014.45650619896,469.640100560085,69.1227324037904,354.250045129286,"Rpom","full","med","3","3",12
17026.5237270103,2210.91865239927,33912.2104279917,6616.61948539919,2613.52009397948,467.007997079938,17738.6160067948,6447.93495641466,28397.5960035658,5621.3724463243,2374.86422713111,423.348609510859,67.1919961012355,334.0765002171,"Amac","full","med","1","3",12
16815.6103210289,2181.14977738505,31653.5139411422,6165.51608755352,2438.12856702972,464.163591648253,17611.8393671898,6423.30572620417,26690.9252426999,5276.45023786049,2236.09589945166,409.602666163831,66.1704260626491,331.288613087292,"Amac","full","med","2","3",12
16602.599076218,2267.77241509032,43601.0519436236,8586.86645194906,3413.28202407224,484.231470547409,17264.2247926419,6484.47168604289,36260.3837497259,7228.94282992716,3041.87075803632,480.370865663355,69.9955339809731,333.970069625638,"Amac","full","med","3","3",12
17661.6608585314,2278.41210686198,37972.1866206964,7465.35579032047,2969.60466532297,474.852025884387,18749.730696154,6540.91083353148,32437.4194868456,6444.07300094889,2710.87025473277,446.917154628545,67.8064815411521,354.61859640312,"Rpom","noB12","med","1","3",12
17599.9494872576,2327.63770796165,38319.494027157,7525.58469211626,2990.59989204332,475.334005731443,18543.4585983038,6575.97174166651,32439.4284274173,6445.46607963929,2714.29433113483,449.891327411257,68.2235169425675,354.633520237215,"Rpom","noB12","med","2","3",12
17354.3315127746,2252.83547543353,26199.3147895992,5082.9306023946,2017.10776922682,456.92895896044,18395.8346018874,6517.10714224612,22461.86614113,4420.35268821749,1887.87464713466,373.527573564561,63.6792616321022,351.340900376491,"Rpom","noB12","med","3","3",12
